epoch,train_loss,val_loss,train_rmse,train_mae,train_explained_variance,train_r2,val_rmse,val_mae,val_explained_variance,val_r2,train_TP50,train_TP75,train_TP90,val_TP50,val_TP75,val_TP90
1,17402.18465663,4582.8083984375,94.28672868736618,72.1294150412332,-0.05725307887805836,0.7064005944519363,65.202454884847,44.39422753651937,0.10544656595836083,0.9323788026968638,66.47025485018806,92.19335611894041,116.40356325604427,38.74188359578451,58.881415430704756,80.67413101196288
2,5516.271810747091,4847.379370117187,71.01891307751005,50.43281666105263,0.09199560115091449,0.8869574057507216,67.31989084879557,46.953413772583005,0.2465654012436668,0.92862575451533,44.499475495087054,67.67631589817701,90.55585425468668,40.41800282796224,61.64001998901367,85.16686414082845
3,4955.559551414585,5297.1591796875,67.07875994758128,47.28840358686248,0.18815773093262414,0.895066280494674,71.14072608947754,48.7027894337972,0.3339763803097109,0.9195594092210134,41.160279605179156,63.08607106228752,85.81866057647322,45.24584986368815,64.55458335876465,83.34972775777182
4,3878.041109603818,1998.0169962565103,59.0999218928764,41.47977189738381,0.3286750650415236,0.9107613593464616,43.29533284505208,31.042480341593425,0.42136163388689357,0.9704290270805359,36.376270158520306,55.40211713463692,74.71942689329012,26.78112729390462,41.21402072906494,56.418372599283856
5,1872.9034255279157,1822.8762329101562,41.80842989358942,30.147064137159532,0.5361828816096029,0.9390966655320203,42.06395467122396,33.70494136810303,0.5868676642576853,0.9725937843322754,26.497265197243152,40.55221961432421,54.38331674232643,30.838656107584637,44.646327336629234,57.024529139200844
6,1422.470962332881,1147.5126037597656,36.40507091538178,26.2618779537568,0.6214492615511072,0.9457033767859806,33.22291145324707,23.739989852905275,0.6498380015293758,0.9828031202157338,22.79313855590182,35.30418314594604,47.67129230898294,20.470699087778726,31.572657966613768,43.40197067260742
7,1263.3383096990226,1203.3307495117188,34.44063939210261,25.071856159545387,0.6264778354739046,0.9479609495925105,33.750240898132326,24.0558723449707,0.6640804529190063,0.9821539461612702,21.980784611721916,33.72090467349256,45.484272896994106,20.497537581125894,32.22975457509359,44.33769073486328
8,1097.9953993793313,1296.3884155273438,32.08900268905831,23.47195793694532,0.6521965582625138,0.9503953157608479,35.35970395406087,24.785976473490397,0.6709711849689484,0.9805492420991262,20.445410453126023,31.55916735916457,42.54564252558114,21.488168652852377,33.64274520874024,45.06877212524414
9,1070.5920611904255,854.407768758138,31.751828891961644,23.41454064596647,0.680413238049551,0.9549096171825999,28.512215487162273,20.655722745259602,0.7030380030473073,0.9872876524925231,20.59438771283776,31.463100177972386,42.15617104055492,17.504971027374268,28.003055000305174,38.24698365529378
10,951.0887031076344,1256.225809733073,29.83749596344377,21.76484802278016,0.7071808913262818,0.9525791194648423,35.16119956970215,26.292018953959147,0.7004711459080378,0.9809473752975464,18.854325621696695,29.50019051140821,39.78616218088062,23.827759742736816,35.20771102905273,45.60474815368652
11,927.1452410709908,1166.7357747395833,29.53337444321381,21.821362299899178,0.6979520832769043,0.9529012494007414,33.89365609486898,26.435392761230467,0.7200364669164022,0.9822591781616211,19.065757691610806,29.357720746156062,39.60289150700908,24.51486740112305,35.28155771891276,45.2734130859375
12,857.3374442256145,826.9173472086588,28.43686296151772,20.872989746317206,0.7166768029394509,0.9538620328803441,28.41560738881429,20.692888577779133,0.7342819511890412,0.9875182608763377,18.149340338287992,28.060127944627066,37.99753868230716,17.99207328160604,27.928190739949546,37.53591143290202
13,821.1970511081329,922.9830057779948,27.796907752128824,20.51084635347502,0.7210290308527368,0.9544584529170431,30.131408882141113,22.365190251668295,0.7167309433221817,0.9859922607739766,17.866479841735075,27.604861327295023,37.24893309780743,19.464539559682212,30.079532623291016,40.3444029490153
14,888.9371335336853,1223.3128601074218,28.934063484479193,21.50820841450073,0.7137211185244836,0.9534232342093559,34.71179962158203,27.068045552571615,0.7272973279158275,0.9813289264837901,18.86720197270605,28.839283284781867,38.681985208678945,24.87641798655192,35.63538277943929,45.551100667317705
15,806.8948560898274,854.1505798339844,27.574497198958777,20.4622366039324,0.730160998375346,0.9546379943273058,28.871654001871743,21.70313809712728,0.7431707541147868,0.9871461272239686,17.996317911347585,27.460772454489224,36.98274060173514,19.46728089650472,29.17060070037842,38.4642951965332
16,832.8956692109048,770.3434336344401,27.882187998943248,20.626661587958555,0.723530804512391,0.9542597405082511,27.395337613423667,20.490079593658447,0.7435324211915334,0.988378103574117,18.08847538696672,27.723222556972104,37.1959255250428,18.07769037882487,27.68921807607015,36.87607968648275
17,779.8078144664046,713.7543060302735,27.093523145220768,20.00228276911141,0.6539394345492997,0.9550070406003976,26.342359860738117,18.986914761861165,0.7439748605092367,0.9892443537712097,17.54005174357522,26.8718179439401,36.18280417151032,16.073395888010662,25.795067850748698,35.32241204579671
18,725.9072275840089,1028.4245849609374,26.199034048423606,19.344244234731505,0.741135857718759,0.9558383131625762,31.856742668151856,25.460754776000975,0.742757385969162,0.9843335787455241,16.897903777565418,26.19197064962347,35.238360329153146,23.47150847117106,33.63538494110107,43.01988703409831
19,747.7549893048019,818.7531870524089,26.62749998340048,19.77568428885488,0.7491504835533797,0.9554708679849633,28.359459177652994,20.901611264546712,0.7493171334266663,0.9875237683455149,17.39970163720422,26.524841779445506,35.66696115916743,18.737962500254312,28.08791249593099,36.72248312632243
20,737.4651939998611,1033.6192891438802,26.366278277281438,19.458921791619336,0.7471421631481733,0.9556696801504829,31.730345026652017,24.33776429494222,0.760013614098231,0.9844073990980784,16.994390695164892,26.17328885609136,35.371933677705265,21.756192684173584,32.81063861846924,43.01490751902262
21,763.5014712281805,804.8883209228516,26.79903346424821,19.87883587362377,0.7371756489150944,0.9552765969950784,28.071382649739583,20.808071072896322,0.7456289281447729,0.9878372649351755,17.50328952597774,26.68959429274044,35.73147694735348,18.053333123524983,27.629251289367676,37.57687651316325
22,695.1668314275382,748.9472178141276,25.564298845235275,18.98561669992104,0.7517475171568004,0.956297564955436,27.13759619394938,19.99777094523112,0.7653204401334127,0.9886444230874379,16.656880350791262,25.553109667789986,34.37891563511294,17.551413790384927,26.830349095662434,35.784482892354326
23,686.6511166624445,619.2367553710938,25.428703818859915,18.71118058320369,0.7556714149947944,0.9564241672160735,24.600241661071777,18.081927903493245,0.7591519435246785,0.9906239549318949,16.21256768055042,25.055883407592773,34.06861452876773,15.634510389963786,24.32196324666341,33.06226456960042
24,659.0508427959107,595.0779591878255,24.94690424228812,18.38623867673355,0.757041519842886,0.9568203989431948,24.13254280090332,17.581507809956868,0.7640930473804474,0.9909789005915324,15.859912166036821,24.696567256081554,33.591516710225505,15.013379859924317,23.614640617370604,32.34512729644776
25,653.7919557962457,787.2442698160808,24.80095970281497,18.333173919422357,0.7585767850466852,0.9569254722056528,27.874274063110352,20.617786026000978,0.775260857741038,0.9880207379659017,16.04828809394996,24.644613345796593,33.23963522811315,18.49948698679606,27.61132787068685,36.21260299682617
26,621.6099026093423,641.8365407307942,24.24852225970025,17.92322282112792,0.7609840944471719,0.9573729202837126,25.148648516337076,18.707458877563475,0.7705026765664419,0.9902620057264964,15.621709221077763,24.161915655415427,32.61201152242876,16.194112078348795,25.3732879002889,33.84300791422526
