epoch,train_loss,val_loss,train_rmse,train_mae,train_explained_variance,train_r2,val_rmse,val_mae,val_explained_variance,val_r2,train_TP50,train_TP75,train_TP90,val_TP50,val_TP75,val_TP90
1,21010.919707358134,7365.028735351562,103.41303369689686,80.03740870902728,-0.04392202627232832,0.6539989492883244,84.22781270345052,63.25992520650228,0.04056066035603483,0.8870202600955963,74.30057049196634,100.4753568960533,124.89535822529174,60.29310684204101,85.12875378926596,105.91054153442383
2,6613.604406891508,10816.94453125,77.25172992530727,56.22447959548759,0.049869685542792135,0.8710970135413453,102.63319396972656,81.9722743988037,0.08840066194534302,0.8330463071664175,50.38304107857549,75.53941407463041,98.99784273283252,80.88668162027994,107.5576655069987,128.4860521952311
3,5816.986361834794,5790.512508138021,72.87737703522878,52.479211918978514,0.10743824717302312,0.8828365221681954,73.91946004231771,53.63654009501139,0.1556718294819196,0.9143200695514679,46.96152867432917,70.47803473372838,92.93368642000972,47.35555000305176,70.93505541483562,95.71519737243652
4,3546.1987575387357,1834.0163594563803,56.19767788364299,39.964164207171194,0.3289357048291791,0.9153248742534525,41.70086962381999,30.163884353637695,0.5232798722883065,0.9726508378982544,35.33415167102255,53.61769123157198,71.57620718090105,26.856609344482422,40.270293935139975,53.822833887736
5,1572.812110294358,1253.346805826823,38.30218178657308,27.720726005203055,0.6019865426246591,0.9435875041714273,34.64962018330892,25.03050340016683,0.6340993603070577,0.9812243123849232,24.297872974284026,37.25860502330828,50.23140633555137,21.582797241210937,33.678182665507,45.49185307820638
6,1358.002606379936,1161.4340494791666,35.612935596928935,26.08505086220458,0.6296159910451169,0.9465584360904773,33.145328267415366,24.738299624125162,0.6615316679080327,0.9827773769696554,22.905225191156237,35.00226156482138,46.851241818033,21.40804516474406,33.15965722401937,44.490408706665036
7,1143.9086717422038,1143.3562418619792,32.772087033323665,23.9380365874478,0.6280479552730855,0.9496938005152108,33.40732720692952,24.94313398996989,0.6762473533550898,0.9827630857626597,20.866888193904604,32.27102435283581,43.559934153217654,21.968813196818033,33.34803784688314,44.78428344726562
8,1097.8987514862954,925.1404602050782,32.140381497818055,23.53345253278022,0.6773429441433322,0.9503844667179315,30.060339991251627,22.16435101826986,0.6819657772779465,0.9860292355219523,20.656828772572794,31.681462547270325,42.517023836718444,19.369362958272298,29.932758649190266,40.299600982666014
9,996.2633693806796,1784.0904988606771,30.662011852823042,22.44300830314349,0.7023004097357455,0.9519025990154952,42.02520853678386,33.41985511779785,0.7104988257090251,0.9728301187356313,19.636021270911563,30.224875541910468,40.69971522726274,31.82993246714274,43.63579851786296,53.92529741923014
10,1096.1669838877403,1453.6075642903645,32.00038139790172,23.64448999859798,0.6962906321721097,0.9504370173151024,37.453131103515624,27.19972489674886,0.7123783270517985,0.9782139380772908,20.872238394605564,31.550262977887396,42.181252387777036,24.385678990681967,36.72965348561605,47.99496714274088
