epoch,Train_loss,Valid_loss,Train_f1_score,Train_pix_acc,Train_IoU,Valid_f1_score,Valid_pix_acc,Valid_IoU
1,0.026751313358545303,0.03421060526508744,0.7967158736687118,0.977369289478166,0.784242307736031,0.81109499895846,0.9729105790456136,0.8016225805451505
2,0.037307124584913254,0.03298978679696051,0.8228536679136325,0.9802483822564659,0.808140849006334,0.8170899584895301,0.9733338276545207,0.8084123602694582
3,0.03245208039879799,0.03267093887161307,0.8246052466517185,0.9805664526341596,0.8129024543552226,0.8173350629010119,0.9735125462214153,0.8104851029623578
4,0.028441820293664932,0.032425655239895615,0.825437457388137,0.9807422855865031,0.8152681180784932,0.821416366532998,0.973609209060669,0.8076617694447983
5,0.03170714154839516,0.032444879099601455,0.8259763456136555,0.9808537575183924,0.8170398297857838,0.8250486891853313,0.9734748125076294,0.8038113805548076
6,0.02876564860343933,0.03240457225684859,0.8263051824823714,0.9809401580122782,0.8181658725108416,0.8122344152742856,0.9736734310785929,0.8177491634379552
7,0.031622759997844696,0.03215636834189171,0.8265697693469302,0.9810608447972583,0.819931525438583,0.8190034647433317,0.9738568782806396,0.8133862893287757
8,0.030616607517004013,0.03208966609560141,0.8270281138638473,0.981157357837669,0.8211292461345723,0.8196219456859327,0.9738418738047282,0.8141496199892867
9,0.03700435906648636,0.03221133332543012,0.8270992453676344,0.9811978610056751,0.8218055510697745,0.82074662956468,0.9738099416097005,0.8115930505533645
10,0.03416192904114723,0.031998763972220304,0.8272608597241048,0.9812571007750569,0.8225758081297775,0.8218497962861695,0.9738475322723389,0.8114111558122852
11,0.03482064604759216,0.03196512793480348,0.8275217986329453,0.9813255234084539,0.8235607681600631,0.8187651979183738,0.9740033944447836,0.8166755497418126
12,0.02828507497906685,0.03195294996081781,0.8275876991004194,0.9813544835184606,0.8238688845874077,0.8207300055693569,0.9739362160364787,0.813862848388169
13,0.033183369785547256,0.03210377228297606,0.8269775409294082,0.9812146652669527,0.8217279931906307,0.8157174112099381,0.9739480018615723,0.8170168947281191
14,0.031114287674427032,0.032001375541591846,0.8276244856207817,0.9813560109968206,0.8239122040416405,0.8163528821814856,0.9739382982254028,0.8173878342466371
15,0.031437940895557404,0.03190825527393017,0.8279459866413661,0.98143327261167,0.8249901378997931,0.8173899653182409,0.9740684350331624,0.8179844786088629
