epoch,Train_loss,Valid_loss,Train_f1_score,Train_pix_acc,Train_IoU,Valid_f1_score,Valid_pix_acc,Valid_IoU
1,0.026836540549993515,0.034212453666479646,0.7968048360049189,0.977375304424038,0.7843085758633815,0.8093174269298864,0.9729446729024251,0.8034482559193726
2,0.037364661693573,0.03296410710308231,0.8228824414883598,0.9802539743467447,0.8082075675104284,0.816511489145404,0.9733595848083496,0.8096454832437071
3,0.03243567422032356,0.032669586935589294,0.8246860724836934,0.9805730643762233,0.8130492827890518,0.8183097756581602,0.9735458215077718,0.8093417932637138
4,0.028423085808753967,0.03243799216481818,0.8253898264238014,0.980749051275993,0.8153312976106737,0.8219078855023689,0.9736131032307943,0.8064395772931167
5,0.032120250165462494,0.03245923375444753,0.8257635445592645,0.9808324987783372,0.8167208426774398,0.8242934001456133,0.9735805670420329,0.804290264109167
6,0.028778694570064545,0.03236263998228462,0.8262939391025219,0.9809590275682494,0.8184838238057115,0.8140191710925099,0.9736663182576497,0.8160248449046257
7,0.03144820034503937,0.03213602999428741,0.8266608169880071,0.981068651131364,0.8200575086326404,0.8202983724974404,0.9738085110982259,0.8118699851936718
8,0.030489344149827957,0.03206642811037913,0.8269609821026798,0.9811372816937525,0.8208553232979235,0.8194590527841032,0.9737994114557902,0.8139945037323223
9,0.037039272487163544,0.03217415525695356,0.8271694889849115,0.9812030222430919,0.8219248224438056,0.8217540909442538,0.9737468083699544,0.8109641659903796
10,0.034252770245075226,0.03196777015173135,0.8272448940571684,0.9812527342662372,0.8224650704658444,0.8212341695777371,0.9738914012908936,0.8120620926256661
11,0.034763067960739136,0.03193383876766477,0.8274358224506517,0.981303628885521,0.8232504865989541,0.8211560048877256,0.973944115638733,0.8131714860672342
12,0.028390441089868546,0.0319381183435937,0.8274728897083055,0.9813432173658967,0.8237998129083303,0.8214434831453216,0.9738628228505453,0.8127967697255992
13,0.032895468175411224,0.03203728377130352,0.8275831288071246,0.9813705420344131,0.8241367721631231,0.8180933204550738,0.9739884694417318,0.8149528444532519
14,0.03084665536880493,0.032025403804889246,0.8277360077497562,0.9814050982333329,0.8245542932244058,0.8166267871646012,0.9739402850468953,0.8175020778162689
15,0.03139568865299225,0.03202580087700812,0.8280652009102849,0.9814554700311625,0.8253148443790965,0.8174245658291408,0.9740311066309612,0.8180562921689332
16,0.033639565110206604,0.03197979120960256,0.8278840480044264,0.9814698951049421,0.8253409203318725,0.8181842232866307,0.9739982843399048,0.8165731985731698
17,0.03180542215704918,0.031885170698666775,0.828136236397748,0.9814749313850323,0.8254848764173832,0.8209989301270959,0.973961591720581,0.8139036642948809
18,0.036479637026786804,0.03182001729660174,0.8283666463977225,0.9815241395802368,0.8261775448190198,0.8197419425628728,0.9740340391794841,0.816289882649132
19,0.030052199959754944,0.03196754835608626,0.8283075864416947,0.9815502076778772,0.8265274018397383,0.8186268261923328,0.9740267117818197,0.8174816738337901
20,0.03226310387253761,0.03188215297873782,0.8283675578775829,0.981566784016991,0.8267388957725735,0.8186577368749782,0.9740330060323079,0.81651555423535
