epoch,Train_loss,Valid_loss,Train_f1_score,Train_pix_acc,Train_IoU,Valid_f1_score,Valid_pix_acc,Valid_IoU
1,0.01687929406762123,0.0184864582290419,0.8918830497773094,0.9844004593055453,0.8814357566677932,0.9047210366949608,0.9787193854649862,0.8818314975324689
2,0.016865311190485954,0.016290091079886722,0.9130279443255976,0.9868960160629304,0.8985264898932902,0.9085785173805176,0.9800415595372518,0.8930948662848781
3,0.015879681333899498,0.016165124855059033,0.9124127109765966,0.9871930586217085,0.9022843001229909,0.9072517119935462,0.9801527500152588,0.8960930805090377
4,0.016206985339522362,0.01614663555059864,0.9123795785445312,0.9872525273129126,0.9031263174403874,0.9064558503038604,0.9802187124888102,0.8973025691295438
5,0.01679796725511551,0.01611768883973861,0.9124157158521802,0.9872774338072451,0.9035105664351548,0.9098585389728167,0.9801212946573893,0.8924461524515209
6,0.020034627988934517,0.017832697134371064,0.9045299770548926,0.9859328070026774,0.8869198634921596,0.9058050431364959,0.9789588610331218,0.881672801411586
7,0.01524161733686924,0.017185126939991944,0.9135202243590778,0.9865383312137371,0.8938115056863225,0.9025189552830184,0.9795483589172364,0.8947452246823256
8,0.018251091241836548,0.04547874757847866,0.9127514193059427,0.9869716152455072,0.8996263940185655,0.811288223191873,0.9694968700408936,0.8575587353564368
9,0.018160047009587288,0.01633113031784276,0.9116081589497865,0.9869332523465907,0.8989690255923801,0.9063105676145301,0.9800709009170532,0.896597148530212
10,0.017676349729299545,0.016247248496202862,0.9117918750332148,0.9870588444563828,0.9006858613303539,0.9065889232972945,0.980099892616272,0.8966133014199976
11,0.016987789422273636,0.020157643961681036,0.912039446076536,0.9871550306084271,0.901942799580061,0.904250696324952,0.9788664658864339,0.8748957473448783
12,0.020217495039105415,0.016229620085982215,0.911850155229359,0.987106843064666,0.9013215271658438,0.9057995878334052,0.9802238702774048,0.8982601060009218
13,0.01853213831782341,0.01615686806998834,0.9121796398099511,0.9872343835090941,0.9029863815654869,0.9058915869665998,0.9802233934402466,0.89827644493021
14,0.016000673174858093,0.016154294168310507,0.9122492715897953,0.9872630477201514,0.9034108312113465,0.9075387355494527,0.9800952990849813,0.8957928272753978
15,0.016008835285902023,0.01632275102863542,0.9112779352061194,0.9870758246575762,0.9009143640891041,0.904795003220876,0.9801721970240275,0.8984172348844358
