epoch,Train_loss,Valid_loss,Train_f1_score,Train_pix_acc,Train_IoU,Valid_f1_score,Valid_pix_acc,Valid_IoU
1,0.019640734419226646,0.017916882301078123,0.8884504467748744,0.9842807861743983,0.877504406742726,0.8990081962783827,0.9792801221211751,0.8965209134981021
2,0.014762302860617638,0.01687516475550267,0.9132488638270958,0.9869395721883394,0.8982593245925291,0.905269208531948,0.9797240495681763,0.895571455802349
3,0.014280212111771107,0.018290054835692172,0.9126144175059281,0.9871876794587141,0.9015059142607598,0.905667758421015,0.9795701026916503,0.8904695654533581
4,0.016375698149204254,0.018779020615610757,0.9125708945803334,0.9872649000875605,0.9026078078396217,0.9066869368814424,0.9796507835388184,0.889828769076469
5,0.0195537731051445,0.01657604384666481,0.9104265788003592,0.9867779623787358,0.8962449149397717,0.9040599484937822,0.9799755334854126,0.8989086687524388
6,0.016506824642419815,0.016663870742904537,0.9110368348404739,0.987016474925747,0.8992331148865441,0.9049805892747654,0.9798924605051677,0.8974926815321906
7,0.016100844368338585,0.016474772456000333,0.9122016717591263,0.9872071678033665,0.9019114240590929,0.9048952051436049,0.9800250291824341,0.8992900375485848
8,0.01253926195204258,0.01640365396414985,0.9122950230643835,0.9872779756222131,0.902868074397255,0.9076830818865199,0.980002514521281,0.8957129491785423
9,0.018207130953669548,0.016363398038915226,0.9123988724541361,0.9873062699595837,0.9032503639747116,0.9059546287080572,0.9800348202387492,0.8981478438776319
10,0.01845363900065422,0.01660575343593329,0.9110096862059552,0.9870106429174011,0.899288901913256,0.9060250963511325,0.9799465576807658,0.8951752583986631
11,0.016733454540371895,0.016461324439767527,0.9121072819825029,0.9872094380280757,0.9019518414389919,0.9095233989686335,0.9799294233322143,0.8925096172941909
12,0.01681731641292572,0.016372396775028285,0.9123517506045337,0.9873031050404163,0.903212924876969,0.9074714721341375,0.9800736824671428,0.8958493828213248
13,0.01778644695878029,0.01634412005293269,0.9124383476618315,0.9873260612007957,0.9035327780254407,0.90516637372672,0.9801028172175089,0.9000226918412974
14,0.012922175228595734,0.016485435027284782,0.9108192054958184,0.987013837826327,0.8993611958950202,0.906698066945286,0.9799667596817017,0.8967272314955008
15,0.017406243830919266,0.016405509745686494,0.9122403177428767,0.9872582173697354,0.9026280836541591,0.9064936032415621,0.9800539175669353,0.8978371980926021
