epoch,Train_loss,Valid_loss,Train_f1_score,Train_pix_acc,Train_IoU,Valid_f1_score,Valid_pix_acc,Valid_IoU
1,0.022243794053792953,0.018907316107334208,0.8896808076023569,0.9840647929369528,0.8683957204259767,0.8965260833329046,0.9787309249242147,0.8851995676449498
2,0.015846822410821915,0.017948279493809248,0.9077705860939955,0.9861368303278957,0.8865809631801521,0.9010167461417621,0.9791866143544515,0.8883606860556469
3,0.015512226149439812,0.017727338427192523,0.9089340769800534,0.9863092774365183,0.8892679564821138,0.9065655376953706,0.9792704900105794,0.8836650373079903
4,0.01777900755405426,0.017761888326842244,0.9097578366230711,0.9864706323331757,0.8916661384254538,0.9012309739802862,0.9792839129765828,0.8896189091711972
5,0.020340893417596817,0.017637986243710296,0.9098184855698821,0.986518844868402,0.8924254452884303,0.8992190043310635,0.9793266773223877,0.8937973259881431
6,0.017171937972307205,0.017413848400616848,0.9101560903111944,0.986597779911769,0.8935677796723347,0.9050736654438009,0.9793750286102295,0.888654591883069
7,0.017524898052215576,0.017383887189902178,0.9101938229981813,0.9866503529578635,0.8941892270961505,0.9063844026744998,0.9794666290283203,0.8868226019016795
8,0.01331157237291336,0.01732706404565012,0.9103995143527526,0.9867159915420244,0.8950940542660306,0.904897195922431,0.9795081138610839,0.8896773355166036
9,0.01907477155327797,0.01732181545597415,0.9100666566526666,0.9867064268084192,0.8948982137378667,0.9049780190157504,0.9795621077219645,0.8897545342262503
10,0.01930057257413864,0.017370697846557915,0.9104705099119051,0.9867674209786661,0.8958822081319149,0.9017592636278631,0.9795727888743083,0.892732017644768
11,0.017399121075868607,0.017327637294260394,0.9105886187176886,0.9868040194801314,0.89633727573699,0.9042681459165713,0.9795640707015991,0.8910799087365241
12,0.017652442678809166,0.01733278892464748,0.9108154888898243,0.9868665541243004,0.8972742280478374,0.906533518758417,0.9795896768569946,0.8873228693734053
13,0.018578242510557175,0.017170104151200346,0.9110345154860617,0.9868889844642496,0.8975738864976139,0.9036929264040439,0.9796241044998169,0.8927057604857257
14,0.013328284956514835,0.01720332044388066,0.9107904721424546,0.9868762268210357,0.8974108582281144,0.9046048708201199,0.9796013593673706,0.8917591380878994
15,0.01804497465491295,0.01727054296296184,0.911241883362099,0.986938081697348,0.8983071923687378,0.9029790689658354,0.9795636018117269,0.894178956527634
